|('Part', 'Obs', 'time', 'x', 'y', 'Video')|
"['1649319328.0663066', 151, 1649319348.565227, 1013.9809955325418, 499.27428308686194, 'Media2.mp4_7']"
"['1649319328.0663066', 152, 1649319348.636536, 1012.611809700802, 498.64312510537593, 'Media2.mp4_8']"
"['1649319328.0663066', 153, 1649319348.6557188, 1012.611809700802, 498.64312510537593, 'Media2.mp4_9']"
"['1649319328.0663066', 154, 1649319348.732514, 994.8917215620213, 520.4598689094148, 'Media2.mp4_10']"
"['1649319328.0663066', 155, 1649319348.8456118, 982.9811645284426, 526.9476181382386, 'Media2.mp4_11']"
"['1649319328.0663066', 156, 1649319348.866289, 982.9811645284426, 526.9476181382386, 'Media2.mp4_12']"
"['1649319328.0663066', 157, 1649319348.9397779, 978.5290858723397, 536.5372812829185, 'Media2.mp4_13']"
"['1649319328.0663066', 158, 1649319348.961596, 978.5290858723397, 536.5372812829185, 'Media2.mp4_14']"
"['1649319328.0663066', 159, 1649319349.0360892, 980.1013715222603, 526.1836348170125, 'Media2.mp4_15']"
"['1649319328.0663066', 160, 1649319349.0589216, 980.1013715222603, 526.1836348170125, 'Media2.mp4_16']"
"['1649319328.0663066', 161, 1649319349.1332393, 964.8824948906827, 547.7729751548281, 'Media2.mp4_17']"
"['1649319328.0663066', 162, 1649319349.2446856, 938.6080258178663, 573.2782999609785, 'Media2.mp4_18']"
"['1649319328.0663066', 163, 1649319349.269532, 938.6080258178663, 573.2782999609785, 'Media2.mp4_19']"
"['1649319328.0663066', 164, 1649319349.3417451, 954.5206291171557, 561.0420978929837, 'Media2.mp4_20']"
"['1649319328.0663066', 165, 1649319349.3614926, 954.5206291171557, 561.0420978929837, 'Media2.mp4_21']"
"['1649319328.0663066', 166, 1649319349.4359946, 957.5285155960564, 548.3635426763885, 'Media2.mp4_22']"
"['1649319328.0663066', 167, 1649319349.457878, 957.5285155960564, 548.3635426763885, 'Media2.mp4_23']"
"['1649319328.0663066', 168, 1649319349.5325077, 950.4739319161604, 552.6762364664226, 'Media2.mp4_24']"
"['1649319328.0663066', 169, 1649319349.6485422, 969.0919315835704, 527.4985284538197, 'Media2.mp4_25']"
"['1649319328.0663066', 170, 1649319349.6747234, 969.0919315835704, 527.4985284538197, 'Media2.mp4_26']"
"['1649319328.0663066', 171, 1649319349.7413938, 989.7916533007083, 498.19760975275017, 'Media2.mp4_27']"
"['1649319328.0663066', 172, 1649319349.7612681, 989.7916533007083, 498.19760975275017, 'Media2.mp4_28']"
"['1649319328.0663066', 173, 1649319349.835997, 1002.8399994039992, 482.0732155891317, 'Media2.mp4_29']"
"['1649319328.0663066', 174, 1649319349.8537683, 1002.8399994039992, 482.0732155891317, 'Media2.mp4_30']"
"['1649319328.0663066', 175, 1649319349.9326751, 1005.8321674634244, 471.5123921178897, 'Media2.mp4_31']"
"['1649319328.0663066', 176, 1649319350.0449584, 1013.6548517149172, 457.88751312969566, 'Media2.mp4_32']"
