Experiment,Part,Stimulus,time,x,y,x_offset,y_offset
UV22MS,1663266938,27manipulated2.jpg,1663266949.9503949,2757.1375635554928,3480.1510840986025,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266949.9753947,2671.6914803423592,3162.777944498555,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.0393963,2664.9071281847373,3336.857865753341,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.071395,2729.8283717727163,3421.7255041166095,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.103395,2633.861737938531,3346.9173281377316,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.1353955,2325.095894459193,3162.398873204721,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.1673949,2487.562935562002,3016.893905166575,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.1993937,2309.662393307471,2914.8217286232843,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.2313967,2472.5888977566196,3069.0695654029837,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.2633944,2424.585984764455,3222.63137327829,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.31691,2654.155227357281,3364.162494488598,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.343842,2691.244170067239,3328.887464338572,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.3509479,2691.244170067239,3328.887464338572,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.375832,2638.4116344427466,3161.478608517576,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.4447773,2593.801845490424,3170.4616077648543,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.4718502,2985.0332722251587,3436.2865186049485,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.504317,2715.4734658206603,3369.562736532761,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.535704,2765.1006254761733,3367.8951843665072,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.5680192,2622.438005056347,3162.8512776449443,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.5993783,2523.3738702754654,3026.0957900465487,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.6316988,2553.9893720924842,3047.365579278356,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.6638546,2652.6746925455896,3190.485229214214,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.7114713,2849.8335725608176,3333.991324468707,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.7441142,2538.4019892311862,3147.136899407084,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.7512217,2538.4019892311862,3147.136899407084,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.7756357,2543.7750788052203,3148.7422758363805,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.8418045,2446.64413452112,2902.1591549958684,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.871811,2626.003522870587,3031.1764955977924,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.9033887,2635.1194982601237,3036.0396241502294,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.9361,2441.3437815611455,2900.6973084415386,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.9676137,2544.8456010874097,2914.476610128198,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266950.9993277,2443.524159209716,2712.8148751112044,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.0319602,2339.86737112642,2843.760978514512,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.0799904,2575.0070140011353,2922.6922366472695,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.1119905,2540.589090263784,2952.3311855647307,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.1190262,2540.589090263784,2952.3311855647307,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.1440263,2402.8470442530106,2836.6320332270543,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.17499,2527.8218610580057,2755.9908073361735,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.2390225,2233.4048261378734,2626.37685351352,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.2709906,2454.8996566385445,2827.7566219539876,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.302989,2501.5587108069517,2891.791632992908,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.3349905,2620.04422730145,2927.1257287819276,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.36699,2478.651274578931,2695.0932436677335,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.3990204,2307.287892901902,2543.5011540093196,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.431024,2605.1424028445913,2565.3830464112802,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.4790215,2303.693424526406,2468.940932137459,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.5115275,2402.2455527714833,2528.3031241410404,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.518528,2402.2455527714833,2528.3031241410404,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.5440314,2383.741985721393,2559.433057958966,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.575497,2192.483824666227,2396.7760227566905,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266951.6399689,2139.8647046860847,2361.3795827051185,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,29.jpg,1663266952.103851,199.0643350165379,314.68962683898496,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.1360507,188.38678784606964,227.41213687025973,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.1678674,227.13571875433445,219.02300025727126,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.2002244,46.38401563412699,200.70146789856025,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.2315767,2029.3329134547212,2565.6746544623397,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.2799947,2572.9981874610407,3390.8946192124254,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.3119605,2583.310843992161,3419.4111566041456,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.3189611,2583.310843992161,3419.4111566041456,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.3439608,2426.6104852296385,3467.828549587381,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.3759613,2420.771670957551,3443.3725871820775,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.4389608,2213.428308422237,3277.0360233932065,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.4709618,2399.852681243747,3338.24473950864,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.5029614,2426.070649228014,3498.516278316491,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.534961,2612.990099688735,3690.173869589877,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.5669916,2674.4304194442343,3665.331638397264,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.5989904,2441.242729514093,3619.7273007264266,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.646987,2705.214057493315,3561.492322912624,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.6789975,2620.744896374946,3715.195977589783,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.6859972,2620.744896374946,3715.195977589783,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.7109978,2839.8300673858457,3880.2894944401214,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.7432299,2947.4071362615196,4076.928274823374,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.7805784,2734.742626054697,4049.8050674103292,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.8400626,2673.15954953114,3897.340628956137,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.8717034,2894.762236937318,3941.421306814027,-438.6423743914638,-506.90127671903247
